# STN,YYYYMMDD,   RH, EV24
# 
  348,20021105,    4,    6
  348,20021106,  167,    7
  348,20021107,   57,    5
  348,20021108,  208,    3
  348,20021109,    1,    6
  348,20021110,   44,    3
  348,20021111,    3,    7
  348,20021112,    6,    4
  348,20021113,   53,    3
  348,20021114,    3,    7
  348,20021115,    0,    6
  348,20021116,   -1,    2
  348,20021117,   20,    5
  348,20021118,    0,    2
  348,20021119,    0,    1
  348,20021120,    0,    5
  348,20021121,   21,    1
  348,20021122,    0,    4
  348,20021123,   28,    5
  348,20021124,    1,    7
  348,20021125,   83,    1
  348,20021126,    0,    4
  348,20021127,   -1,    5
  348,20021128,   36,    1
  348,20021129,    5,    2
  348,20021130,    0,    2
  348,20021201,   71,    2
  348,20021202,   11,    2
  348,20021203,    0,    3
  348,20021204,    0,    1
  348,20021205,    0,    3
  348,20021206,    0,    1
  348,20021207,    1,    1
  348,20021208,    0,    2
  348,20021209,    0,    3
  348,20021210,    0,    3
  348,20021211,    0,    3
  348,20021212,    0,    2
  348,20021213,    0,    2
  348,20021214,    0,    1
  348,20021215,   61,    2
  348,20021216,   31,    0
  348,20021217,    0,    0
  348,20021218,    1,    3
  348,20021219,    0,    3
  348,20021220,    0,    3
  348,20021221,    0,    1
  348,20021222,  237,    0
  348,20021223,    5,    1
  348,20021224,   25,    2
  348,20021225,    4,    2
  348,20021226,   85,    1
  348,20021227,   72,    1
  348,20021228,   28,    2
  348,20021229,  171,    1
  348,20021230,   13,    0
  348,20021231,    0,    2
  348,20030101,  150,    1
  348,20030102,  124,    1
  348,20030103,   13,    1
  348,20030104,    0,    3
  348,20030105,    3,    2
  348,20030106,    3,    3
  348,20030107,    0,    3
  348,20030108,    0,    2
  348,20030109,    0,    4
  348,20030110,    0,    2
  348,20030111,    0,    5
  348,20030112,    0,    2
  348,20030113,    8,    2
  348,20030114,    0,    3
  348,20030115,    8,    3
  348,20030116,    0,    5
  348,20030117,    1,    4
  348,20030118,    1,    2
  348,20030119,   17,    1
  348,20030120,   43,    2
  348,20030121,   10,    6
  348,20030122,   16,    3
  348,20030123,    4,    1
  348,20030124,    0,    7
  348,20030125,   10,    3
  348,20030126,   20,    2
  348,20030127,   10,    4
  348,20030128,   28,    3
  348,20030129,   77,    4
  348,20030130,   37,    3
  348,20030131,    2,    5
  348,20030201,    7,    2
  348,20030202,   73,    3
  348,20030203,   23,    4
  348,20030204,   31,    5
  348,20030205,    9,    7
  348,20030206,   -1,    7
  348,20030207,    1,    2
  348,20030208,   -1,    2
  348,20030209,    2,    2
  348,20030210,    0,    9
  348,20030211,    0,    2
  348,20030212,    0,    1
  348,20030213,    0,   10
  348,20030214,    0,    8
  348,20030215,    0,    2
  348,20030216,    0,    9
  348,20030217,    0,    9
  348,20030218,    0,   10
  348,20030219,    0,   10
  348,20030220,    0,   11
  348,20030221,    0,   11
  348,20030222,    0,   11
  348,20030223,    0,   12
  348,20030224,    0,   12
  348,20030225,    0,   14
  348,20030226,    0,   13
  348,20030227,    0,   14
  348,20030228,   37,   14
  348,20030301,    0,   14
  348,20030302,   27,    8
  348,20030303,    0,   13
  348,20030304,    9,   10
  348,20030305,    0,    6
  348,20030306,    6,    5
  348,20030307,   14,    9
  348,20030308,   52,    9
  348,20030309,    9,   12
  348,20030310,    0,   10
  348,20030311,   66,    3
  348,20030312,    6,    8
  348,20030313,    0,   17
  348,20030314,    0,   19
  348,20030315,    0,   19
  348,20030316,    0,   20
  348,20030317,    0,   18
  348,20030318,    0,   19
  348,20030319,    0,   16
  348,20030320,    0,   11
  348,20030321,    0,   20
  348,20030322,    0,   22
  348,20030323,    0,   24
  348,20030324,    0,   22
  348,20030325,    0,   17
  348,20030326,    0,   23
  348,20030327,    0,   19
  348,20030328,    0,   24
  348,20030329,    0,    9
  348,20030330,    0,   19
  348,20030331,    0,   20
  348,20030401,  126,   10
  348,20030402,   72,   16
  348,20030403,    2,   14
  348,20030404,    0,   10
  348,20030405,    1,   20
  348,20030406,    0,   19
  348,20030407,    0,   25
  348,20030408,    0,   22
  348,20030409,    2,   17
  348,20030410,    1,   14
  348,20030411,    4,   16
  348,20030412,    0,   27
  348,20030413,    0,   31
  348,20030414,    0,   32
  348,20030415,    0,   37
  348,20030416,    0,   37
  348,20030417,    0,   37
  348,20030418,    0,   34
  348,20030419,    0,   14
  348,20030420,    0,   30
  348,20030421,   34,   32
  348,20030422,   21,   33
  348,20030423,    0,   31
  348,20030424,    0,   33
  348,20030425,   18,   20
  348,20030426,   73,    7
  348,20030427,   21,   21
  348,20030428,    6,   21
  348,20030429,   45,   30
  348,20030430,   16,   10
  348,20030501,    7,   25
  348,20030502,   76,   20
  348,20030503,   65,   31
  348,20030504,    0,   43
  348,20030505,   76,    8
  348,20030506,   31,   21
  348,20030507,    0,   36
  348,20030508,    8,   31
  348,20030509,    0,   18
  348,20030510,    0,   35
  348,20030511,   40,   31
  348,20030512,  120,   18
  348,20030513,   25,   33
  348,20030514,   10,   22
  348,20030515,    0,   29
  348,20030516,    0,   34
  348,20030517,   21,   19
  348,20030518,   47,   22
  348,20030519,   33,   12
  348,20030520,   61,   21
  348,20030521,   11,   24
  348,20030522,   15,    8
  348,20030523,   72,   12
  348,20030524,   14,   11
  348,20030525,   14,   14
  348,20030526,    0,   38
  348,20030527,    0,   36
  348,20030528,    0,   46
  348,20030529,    0,   50
  348,20030530,    0,   48
  348,20030531,    0,   49
  348,20030601,    0,   47
  348,20030602,   72,   32
  348,20030603,    0,   30
  348,20030604,    0,   42
  348,20030605,    0,   38
  348,20030606,    0,   46
  348,20030607,    0,   45
  348,20030608,   61,   21
  348,20030609,    0,   45
  348,20030610,   28,   25
  348,20030611,    0,   46
  348,20030612,    0,   34
  348,20030613,    0,   47
  348,20030614,    0,   32
  348,20030615,    0,   48
  348,20030616,    0,   46
  348,20030617,    0,   33
  348,20030618,    0,   39
  348,20030619,   24,   15
  348,20030620,    0,   41
  348,20030621,    0,   42
  348,20030622,    0,   33
  348,20030623,    3,   35
  348,20030624,    0,   42
  348,20030625,    0,   48
  348,20030626,    0,   49
  348,20030627,    0,   48
  348,20030628,    0,   33
  348,20030629,    0,   42
  348,20030630,   29,   11
  348,20030701,   65,   26
  348,20030702,   41,   22
  348,20030703,   61,   22
  348,20030704,    2,   12
  348,20030705,    1,   15
  348,20030706,    0,   18
  348,20030707,    0,   39
  348,20030708,   -1,   31
  348,20030709,    0,   43
  348,20030710,    0,   50
  348,20030711,    0,   36
  348,20030712,    0,   37
  348,20030713,    0,   51
  348,20030714,    0,   54
  348,20030715,    0,   55
  348,20030716,    0,   48
  348,20030717,   60,   10
  348,20030718,    0,   28
  348,20030719,    0,   51
  348,20030720,    7,   37
  348,20030721,    2,   42
  348,20030722,    0,   39
  348,20030723,    0,   39
  348,20030724,   50,   22
  348,20030725,   17,   30
  348,20030726,    0,   26
  348,20030727,   10,   30
  348,20030728,    0,   42
  348,20030729,    0,   35
  348,20030730,    6,   27
  348,20030731,    0,   43
  348,20030801,    0,   43
  348,20030802,    0,   34
  348,20030803,    0,   46
  348,20030804,    0,   44
  348,20030805,    0,   43
  348,20030806,    0,   43
  348,20030807,    0,   43
  348,20030808,    0,   36
  348,20030809,    0,   32
  348,20030810,   -1,   35
  348,20030811,    0,   33
  348,20030812,    0,   42
  348,20030813,    0,   37
  348,20030814,    0,   41
  348,20030815,    0,   36
  348,20030816,    0,   31
  348,20030817,    0,   13
  348,20030818,    1,   19
  348,20030819,    0,   32
  348,20030820,    0,   29
  348,20030821,    0,   30
  348,20030822,    0,    9
  348,20030823,    1,   30
  348,20030824,    0,   14
  348,20030825,    0,   31
  348,20030826,    0,   33
  348,20030827,    0,   22
  348,20030828,   17,   18
  348,20030829,   40,   11
  348,20030830,   18,   25
  348,20030831,   51,   21
  348,20030901,    1,   23
  348,20030902,    0,   22
  348,20030903,    0,   23
  348,20030904,    0,   24
  348,20030905,    0,   29
  348,20030906,   46,   11
  348,20030907,    3,   13
  348,20030908,    0,   20
  348,20030909,   36,   15
  348,20030910,  175,    5
  348,20030911,    1,   23
  348,20030912,    2,    7
  348,20030913,   -1,   27
  348,20030914,    0,   29
  348,20030915,    0,   25
  348,20030916,    0,   23
  348,20030917,    0,   27
  348,20030918,    0,   28
  348,20030919,    0,   22
  348,20030920,    0,   24
  348,20030921,    0,   25
  348,20030922,  124,   24
  348,20030923,   62,   12
  348,20030924,    0,   21
  348,20030925,    0,   23
  348,20030926,    6,   16
  348,20030927,    0,   17
  348,20030928,   49,    4
  348,20030929,   -1,   15
  348,20030930,    0,   18
  348,20031001,   40,   12
  348,20031002,    0,    8
  348,20031003,    3,   13
  348,20031004,   69,   12
  348,20031005,   22,   17
  348,20031006,   87,    7
  348,20031007,  248,    6
  348,20031008,   72,    5
  348,20031009,   13,    6
  348,20031010,   10,   11
  348,20031011,    0,    6
  348,20031012,    0,   16
  348,20031013,    0,   11
  348,20031014,    0,   14
  348,20031015,    0,   16
  348,20031016,    0,   15
  348,20031017,    0,   15
  348,20031018,    0,   12
  348,20031019,    0,   11
  348,20031020,    0,   10
  348,20031021,    0,    4
  348,20031022,    0,    8
  348,20031023,    0,   11
  348,20031024,   16,    6
  348,20031025,   95,    4
  348,20031026,   13,    9
  348,20031027,    0,   10
  348,20031028,    1,    8
